"Higher.taxon","Genus","Species","Individual","Sex","Age","Date","Video","Bout","Insertion.event","Hand.used.to.insert","Handed.in.with..","Position","Fingers","Location","X","HIInsert"
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",1,1,"left",NA,"Sitting",NA,"Apeldoorn","",-1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",1,2,"left",NA,"Sitting",NA,"Apeldoorn","",-1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",2,1,"right",NA,"Sitting","Index","Apeldoorn","",1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",3,1,"left",NA,"Sitting","Index, Middle","Apeldoorn","",-1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",3,1,"left",NA,"Sitting","Index, Middle","Apeldoorn","",-1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",4,1,"right",NA,"Sitting",NA,"Apeldoorn","",1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",5,1,"left",NA,"Sitting","Index, Middle, Ring","Apeldoorn","",-1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",5,2,"left",NA,"Sitting","Index, Middle, Ring","Apeldoorn","",-1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",6,1,"right",NA,"Sitting","Index, Middle","Apeldoorn","",1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",7,1,"left",NA,"Sitting","Index, Middle","Apeldoorn","",-1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",8,1,"right",NA,"Sitting","Index, Middle","Apeldoorn","",1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",9,1,"left",NA,"Sitting","Index, Middle, Ring","Apeldoorn","",-1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",9,2,"left",NA,"Sitting","Middle, Ring","Apeldoorn","",-1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",10,1,"left",NA,"Sitting","Index, Middle","Apeldoorn","",-1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",10,2,"left",NA,"Sitting","Index, Middle","Apeldoorn","",-1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",10,3,"left",NA,"Sitting","Index, Middle","Apeldoorn","",-1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",10,4,"left",NA,"Sitting","Index, Middle","Apeldoorn","",-1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",10,5,"left",NA,"Sitting","Index, Middle","Apeldoorn","",-1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",10,6,"left",NA,"Sitting","Index, Middle","Apeldoorn","",-1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",11,1,"right",NA,"Sitting","Index, Middle","Apeldoorn","",1
"Atelidae","Ateles","fusciceps","Sullana_fusciceps","male","adult","31.08.2019","_00110",11,2,"right",NA,"Sitting","Index, Middle, Ring","Apeldoorn","",1
