"Family","Species","Ecology","female.endocranial.volume","Habitual.tool.use.in.wild.populations","HI","HIabs","Clade","Name.in.tree"
"Atelidae","Ateles_fusciceps","Arboreal",107.549,"No",0.062804347826087,0.797717391304348,"Platyrrhini","Ateles_fusciceps"
"Atelidae","Ateles_geoffroyi","Arboreal",103.459,"No",0.0605652173913044,0.829260869565217,"Platyrrhini","Ateles_geoffroyi"
"Atelidae","Ateles_hybridus","Arboreal",102.594,"No",-0.377111111111111,0.916777777777778,"Platyrrhini","Ateles_belzebuth"
"Callitrichidae","Leontopithecus_chrysomelas","Arboreal",11.836,"No",0.151166666666667,0.514233333333333,"Platyrrhini","Leontopithecus_chrysomelas"
"Callitrichidae","Leontopithecus_chrysopygus","Arboreal",13.04,"No",0.0388,0.349866666666667,"Platyrrhini","Leontopithecus_chrysopygus"
"Callitrichidae","Leontopithecus_rosalia","Arboreal",13.04,"No",0.0218928571428571,0.50175,"Platyrrhini","Leontopithecus_rosalia"
"Cebidae","Sapajus_flavius","Arboreal",63.653,"Yes",-0.130250617151219,0.769168625577883,"Platyrrhini","Sapajus_flavius"
"Cebidae","Sapajus_apella","Arboreal",64.136,"Yes",0.015549076173674,0.650500173075575,"Platyrrhini","Cebus_apella"
"Cebidae","Sapajus_xanthosternos","Arboreal",64.005,"Yes",0.0888745699089445,0.676914750245978,"Platyrrhini","Cebus_xanthosternos"
"Cebidae","Saimiri_sciureus","Arboreal",23.523,"No",-0.118888888888889,0.757222222222222,"Platyrrhini","Saimiri_sciureus"
"Cercopithecidae","Cercocebus_torquatus","Terrestrial",93.482,"No",-0.0290645161290323,0.664935483870968,"Cercopithecoidea","Cercocebus_torquatus"
"Cercopithecidae","Cercopithecus_diana","Arboreal",57.293,"No",0.1785,0.7545,"Cercopithecoidea","Cercopithecus_diana"
"Cercopithecidae","Cercopithecus_neglectus","Arboreal",60.862,"No",-0.25788,0.62052,"Cercopithecoidea","Cercopithecus_neglectus"
"Cercopithecidae","Macaca_fascicularis","Arboreal",60.934,"Yes",-0.0358,0.6842,"Cercopithecoidea","Macaca_fascicularis"
"Cercopithecidae","Macaca_nemestrina","Terrestrial",97.854,"No",0.0350689655172414,0.527206896551724,"Cercopithecoidea","Macaca_nemestrina"
"Cercopithecidae","Macaca_silenus","Arboreal",78,"No",-0.0506,0.467285714285714,"Cercopithecoidea","Macaca_silenus"
"Cercopithecidae","Macaca_sylvanus","Terrestrial",92.913,"No",-0.0245833333333333,0.6705,"Cercopithecoidea","Macaca_sylvanus"
"Cercopithecidae","Mandrillus_sphinx","Terrestrial",136.422,"No",0.034,0.3886875,"Cercopithecoidea","Mandrillus_sphinx"
"Cercopithecidae","Papio_hamadryas","Terrestrial",137,"No",0.0656666666666667,0.408166666666667,"Cercopithecoidea","Papio_hamadryas"
"Cercopithecidae","Semnopithecus_entellus","Terrestrial",95.237,"No",-0.183766666666667,0.560566666666667,"Cercopithecoidea","Semnopithecus_entellus"
"Cercopithecidae","Theropithecus_gelada","Terrestrial",123.223,"No",0.0525526315789474,0.257447368421053,"Cercopithecoidea","Theropithecus_gelada"
"Cercopithecidae","Trachypithecus_auratus","Arboreal",62.594,"No",-0.256,0.9845,"Cercopithecoidea","Trachypithecus_auratus"
"Cercopithecidae","Papio_anubis","Terrestrial",156.056,"No",0.108063279906383,0.526853846576676,"Cercopithecoidea","Papio_anubis"
"Cercopithecidae","Rhinopithecus_roxellana","Arboreal",115.535,"No",-0.31875,0.72875,"Cercopithecoidea","Rhinopithecus_roxellana"
"Cercopithecidae","Trachypithecus_hathinensis","Arboreal",81,"No",-0.247777777777778,0.816666666666667,"Cercopithecoidea","Trachypithecus_francoisi"
"Cercopithecidae","Pygathrix_cinerea","Arboreal",94.85,"No",0.165,0.499444444444444,"Cercopithecoidea","Pygathrix_cinerea"
"Cercopithecidae","Macaca_tonkeana","Terrestrial",93.791,"No",-0.0571428571428571,0.542857142857143,"Cercopithecoidea","Macaca_tonkeana"
"Hominidae","Pan_paniscus","Terrestrial",326.25,"No",0.044210410009834,0.529478076986672,"Hominoidea","Pan_paniscus"
"Hominidae","Gorilla_gorilla","Terrestrial",433.735,"No",0.247712215092105,0.540660386828947,"Hominoidea","Gorilla_gorilla_gorilla"
"Hominidae","Pan_troglodytes","Terrestrial",357.713,"Yes",0.132535618274254,0.506732736054105,"Hominoidea","Pan_troglodytes_verus"
"Hominidae","Pongo_sp.","Arboreal",342.811,"Yes",-0.224518391595745,0.486861510957447,"Hominoidea","Pongo_pygmaeus"
"Hominidae","Homo_sapiens","Terrestrial",1253.3,"Yes",0.760551181102362,0.943228346456693,"Hominoidea","Homo_sapiens"
"Hylobatidae","Hylobates_lar","Arboreal",101.378,"No",-0.011,0.614388888888889,"Hominoidea","Hylobates_lar"
"Hylobatidae","Hylobates_moloch","Arboreal",93.469,"No",-0.1155,0.799045454545455,"Hominoidea","Hylobates_moloch"
"Hylobatidae","Nomascus_gabriellae","Arboreal",117.044,"No",-0.1735,0.6181,"Hominoidea","Nomascus_gabriellae"
"Hylobatidae","Nomascus_leucogenys","Arboreal",121.967,"No",-0.0310653846153846,0.555242307692308,"Hominoidea","Nomascus_leucogenys"
"Hylobatidae","Symphalangus_syndactylus","Arboreal",124.512,"No",-0.048258064516129,0.481677419354839,"Hominoidea","Symphalangus_syndactylus"
"Pitheciidae","Pithecia_pithecia","Arboreal",31.474,"No",-0.385,0.934142857142857,"Platyrrhini","Pithecia_pithecia"
