Genus;Species;Location;Subject;Sex;Age;X.insertions;X.bouts;HI;AbsHI;z-score;Category;Clade;Treename
Ateles;fusciceps;Monkey Jungle, Miami;Molly;f;adult;90;NA;-0.98;0.98;NA;left;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Monkey Jungle, Miami;Cleo;f;adult;90;NA;-0.98;0.98;NA;left;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Monkey Jungle, Miami;Carmelita;f;adult;90;NA;-0.98;0.98;NA;left;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Monkey Jungle, Miami;Mints;f;adult;90;NA;-0.91;0.91;NA;left;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Monkey Jungle, Miami;Dusky;f;adult;90;NA;1;1;NA;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Monkey Jungle, Miami;CJ;f;adult;90;NA;1;1;NA;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Monkey Jungle, Miami;Sunday;m;adult;90;NA;-1;1;NA;left;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Monkey Jungle, Miami;Uva;m;adult;90;NA;0.71;0.71;NA;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Monkey Jungle, Miami;Mason;m;juvenile;90;NA;-0.87;0.87;NA;left;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Apeldoorn;Sullana;m;adult;58;24;-0.621;0.62;-4.727031583;left;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Apeldoorn;Choko;f;adult;37;7;-1;1;-6.08276253;left;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Apeldoorn;Diaz;f;adult;53;14;1;1;7.280109889;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Apeldoorn;Bogota;m;adult;52;12;-0.462;0.46;-3.328201177;left;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Dou� la Fontaine;Pierrette;f;adult;34;11;-0.824;0.82;-4.801960384;left;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Dou� la Fontaine;Tina;f;adult;70;13;0.971;0.97;8.127554543;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Dou� la Fontaine;Sylvie;f;adult;31;10;-0.032;0.03;-0.179605302;ambipreferent;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Dou� la Fontaine;Maya;f;adult;44;10;0.273;0.27;1.809068067;ambipreferent;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Dou� la Fontaine;Cosette;f;adult;40;9;1;1;6.32455532;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Landau;Bonny;f;adult;44;7;1;1;6.633249581;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Landau;Pepe;m;adult;34;15;0.706;0.71;4.115966043;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Landau;Sally;f;adult;47;17;-0.915;0.91;-6.272194634;left;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Landau;Conchita;f;adult;33;11;-0.455;0.45;-2.611164839;left;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Landau;Tina;f;adult;34;11;1;1;5.830951895;right;Platyrrhini;Ateles_fusciceps
Ateles;fusciceps;Landau;Ellie;f;adult;31;15;0.29;0.29;1.616447718;ambipreferent;Platyrrhini;Ateles_fusciceps
